code,chapter_prefix,chapter_name,parent,title,description,synonyms,level
A82,A,Certain infectious and parasitic diseases,,Sepsis (category),Sepsis within Certain infectious and parasitic diseases. Category-level grouping.,sepsis|Sepsis disorder|Sepsis disease,category
J52,J,Diseases of the respiratory system,,Pneumonia (category),Pneumonia within Diseases of the respiratory system. Category-level grouping.,pneumonia|Pneumonia disorder|Pneumonia disease,category
J60,J,Diseases of the respiratory system,,Asthma (category),Asthma within Diseases of the respiratory system. Category-level grouping.,asthma|Asthma disorder|Asthma disease,category
J35,J,Diseases of the respiratory system,,COPD (category),COPD within Diseases of the respiratory system. Category-level grouping.,copd|COPD disorder|COPD disease,category
J18,J,Diseases of the respiratory system,,Respiratory failure (category),Respiratory failure within Diseases of the respiratory system. Category-level grouping.,respiratory failure|Respiratory failure disorder|Respiratory failure disease,category
K13,K,Diseases of the digestive system,,Gastritis (category),Gastritis within Diseases of the digestive system. Category-level grouping.,gastritis|Gastritis disorder|Gastritis disease,category
K19,K,Diseases of the digestive system,,Peptic ulcer (category),Peptic ulcer within Diseases of the digestive system. Category-level grouping.,peptic ulcer|Peptic ulcer disorder|Peptic ulcer disease,category
K26,K,Diseases of the digestive system,,Liver disease (category),Liver disease within Diseases of the digestive system. Category-level grouping.,liver disease|Liver disease disorder|Liver disease disease,category
K20,K,Diseases of the digestive system,,Pancreatic disorder (category),Pancreatic disorder within Diseases of the digestive system. Category-level grouping.,pancreatic disorder|Pancreatic disorder disorder|Pancreatic disorder disease,category
K36,K,Diseases of the digestive system,,IBD (category),IBD within Diseases of the digestive system. Category-level grouping.,ibd|IBD disorder|IBD disease,category
M80,M,Diseases of the musculoskeletal system and connective tissue,,Osteoarthritis (category),Osteoarthritis within Diseases of the musculoskeletal system and connective tissue. Category-level grouping.,osteoarthritis|Osteoarthritis disorder|Osteoarthritis disease,category
M74,M,Diseases of the musculoskeletal system and connective tissue,,Rheumatoid arthritis (category),Rheumatoid arthritis within Diseases of the musculoskeletal system and connective tissue. Category-level grouping.,rheumatoid arthritis|Rheumatoid arthritis disorder|Rheumatoid arthritis disease,category
M69,M,Diseases of the musculoskeletal system and connective tissue,,Low back pain (category),Low back pain within Diseases of the musculoskeletal system and connective tissue. Category-level grouping.,low back pain|Low back pain disorder|Low back pain disease,category
M54,M,Diseases of the musculoskeletal system and connective tissue,,Osteoporosis (category),Osteoporosis within Diseases of the musculoskeletal system and connective tissue. Category-level grouping.,osteoporosis|Osteoporosis disorder|Osteoporosis disease,category
N32,N,Diseases of the genitourinary system,,CKD (category),CKD within Diseases of the genitourinary system. Category-level grouping.,ckd|CKD disorder|CKD disease,category
N24,N,Diseases of the genitourinary system,,UTI (category),UTI within Diseases of the genitourinary system. Category-level grouping.,uti|UTI disorder|UTI disease,category
N38,N,Diseases of the genitourinary system,,Nephrolithiasis (category),Nephrolithiasis within Diseases of the genitourinary system. Category-level grouping.,nephrolithiasis|Nephrolithiasis disorder|Nephrolithiasis disease,category
N48,N,Diseases of the genitourinary system,,Prostate disorder (category),Prostate disorder within Diseases of the genitourinary system. Category-level grouping.,prostate disorder|Prostate disorder disorder|Prostate disorder disease,category
N77,N,Diseases of the genitourinary system,,Gynecologic disorder (category),Gynecologic disorder within Diseases of the genitourinary system. Category-level grouping.,gynecologic disorder|Gynecologic disorder disorder|Gynecologic disorder disease,category
A82.001,A,Certain infectious and parasitic diseases,A82,Sepsis - variant 001,Sepsis - variant 001 specific presentation or complication.,sepsis - variant 001|sepsis|unspecified,leaf
A79.001,A,Certain infectious and parasitic diseases,A79,Viral infection - variant 001,Viral infection - variant 001 specific presentation or complication.,viral infection - variant 001|viral|unspecified,leaf
A25.001,A,Certain infectious and parasitic diseases,A25,Bacterial infection - variant 001,Bacterial infection - variant 001 specific presentation or complication.,bacterial infection - variant 001|bacterial|unspecified,leaf
A26.001,A,Certain infectious and parasitic diseases,A26,Mycosis - variant 001,Mycosis - variant 001 specific presentation or complication.,mycosis - variant 001|mycosis|unspecified,leaf
A73.001,A,Certain infectious and parasitic diseases,A73,Parasitic disease - variant 001,Parasitic disease - variant 001 specific presentation or complication.,parasitic disease - variant 001|parasitic|unspecified,leaf
C19.001,C,Neoplasms,C19,Malignant neoplasm of organ - variant 001,Malignant neoplasm of organ - variant 001 specific presentation or complication.,malignant neoplasm of organ - variant 001|malignant|unspecified,leaf
C76.001,C,Neoplasms,C76,Benign neoplasm - variant 001,Benign neoplasm - variant 001 specific presentation or complication.,benign neoplasm - variant 001|benign|unspecified,leaf
C23.001,C,Neoplasms,C23,In situ neoplasm - variant 001,In situ neoplasm - variant 001 specific presentation or complication.,in situ neoplasm - variant 001|in|unspecified,leaf
C25.001,C,Neoplasms,C25,Neoplasm of uncertain behavior - variant 001,Neoplasm of uncertain behavior - variant 001 specific presentation or complication.,neoplasm of uncertain behavior - variant 001|neoplasm|unspecified,leaf
E25.001,E,"Endocrine, nutritional and metabolic diseases",E25,Type 2 diabetes - variant 001,Type 2 diabetes - variant 001 specific presentation or complication.,type 2 diabetes - variant 001|type|unspecified,leaf
E90.001,E,"Endocrine, nutritional and metabolic diseases",E90,Thyroid disorder - variant 001,Thyroid disorder - variant 001 specific presentation or complication.,thyroid disorder - variant 001|thyroid|unspecified,leaf
E19.001,E,"Endocrine, nutritional and metabolic diseases",E19,Lipid disorder - variant 001,Lipid disorder - variant 001 specific presentation or complication.,lipid disorder - variant 001|lipid|unspecified,leaf
E22.001,E,"Endocrine, nutritional and metabolic diseases",E22,Obesity - variant 001,Obesity - variant 001 specific presentation or complication.,obesity - variant 001|obesity|unspecified,leaf
E89.001,E,"Endocrine, nutritional and metabolic diseases",E89,Electrolyte imbalance - variant 001,Electrolyte imbalance - variant 001 specific presentation or complication.,electrolyte imbalance - variant 001|electrolyte|unspecified,leaf
F64.001,F,Mental and behavioural disorders,F64,Major depressive disorder - variant 001,Major depressive disorder - variant 001 specific presentation or complication.,major depressive disorder - variant 001|major|unspecified,leaf
F62.001,F,Mental and behavioural disorders,F62,Anxiety disorder - variant 001,Anxiety disorder - variant 001 specific presentation or complication.,anxiety disorder - variant 001|anxiety|unspecified,leaf
F91.001,F,Mental and behavioural disorders,F91,Substance use disorder - variant 001,Substance use disorder - variant 001 specific presentation or complication.,substance use disorder - variant 001|substance|unspecified,leaf
F26.001,F,Mental and behavioural disorders,F26,Schizophrenia spectrum - variant 001,Schizophrenia spectrum - variant 001 specific presentation or complication.,schizophrenia spectrum - variant 001|schizophrenia|unspecified,leaf
G13.001,G,Diseases of the nervous system,G13,Epilepsy - variant 001,Epilepsy - variant 001 specific presentation or complication.,epilepsy - variant 001|epilepsy|unspecified,leaf
G59.001,G,Diseases of the nervous system,G59,Parkinsonism - variant 001,Parkinsonism - variant 001 specific presentation or complication.,parkinsonism - variant 001|parkinsonism|unspecified,leaf
G97.001,G,Diseases of the nervous system,G97,Migraine - variant 001,Migraine - variant 001 specific presentation or complication.,migraine - variant 001|migraine|unspecified,leaf
G64.001,G,Diseases of the nervous system,G64,Neuropathy - variant 001,Neuropathy - variant 001 specific presentation or complication.,neuropathy - variant 001|neuropathy|unspecified,leaf
I37.001,I,Diseases of the circulatory system,I37,Hypertensive disease - variant 001,Hypertensive disease - variant 001 specific presentation or complication.,hypertensive disease - variant 001|hypertensive|unspecified,leaf
I55.001,I,Diseases of the circulatory system,I55,Ischemic heart disease - variant 001,Ischemic heart disease - variant 001 specific presentation or complication.,ischemic heart disease - variant 001|ischemic|unspecified,leaf
I38.001,I,Diseases of the circulatory system,I38,Heart failure - variant 001,Heart failure - variant 001 specific presentation or complication.,heart failure - variant 001|heart|unspecified,leaf
I66.001,I,Diseases of the circulatory system,I66,Cerebrovascular disease - variant 001,Cerebrovascular disease - variant 001 specific presentation or complication.,cerebrovascular disease - variant 001|cerebrovascular|unspecified,leaf
I22.001,I,Diseases of the circulatory system,I22,Arrhythmia - variant 001,Arrhythmia - variant 001 specific presentation or complication.,arrhythmia - variant 001|arrhythmia|unspecified,leaf
J52.001,J,Diseases of the respiratory system,J52,Pneumonia - variant 001,Pneumonia - variant 001 specific presentation or complication.,pneumonia - variant 001|pneumonia|unspecified,leaf
J60.001,J,Diseases of the respiratory system,J60,Asthma - variant 001,Asthma - variant 001 specific presentation or complication.,asthma - variant 001|asthma|unspecified,leaf
J35.001,J,Diseases of the respiratory system,J35,COPD - variant 001,COPD - variant 001 specific presentation or complication.,copd - variant 001|copd|unspecified,leaf
J18.001,J,Diseases of the respiratory system,J18,Respiratory failure - variant 001,Respiratory failure - variant 001 specific presentation or complication.,respiratory failure - variant 001|respiratory|unspecified,leaf
K13.001,K,Diseases of the digestive system,K13,Gastritis - variant 001,Gastritis - variant 001 specific presentation or complication.,gastritis - variant 001|gastritis|unspecified,leaf
K19.001,K,Diseases of the digestive system,K19,Peptic ulcer - variant 001,Peptic ulcer - variant 001 specific presentation or complication.,peptic ulcer - variant 001|peptic|unspecified,leaf
K26.001,K,Diseases of the digestive system,K26,Liver disease - variant 001,Liver disease - variant 001 specific presentation or complication.,liver disease - variant 001|liver|unspecified,leaf
K20.001,K,Diseases of the digestive system,K20,Pancreatic disorder - variant 001,Pancreatic disorder - variant 001 specific presentation or complication.,pancreatic disorder - variant 001|pancreatic|unspecified,leaf
K36.001,K,Diseases of the digestive system,K36,IBD - variant 001,IBD - variant 001 specific presentation or complication.,ibd - variant 001|ibd|unspecified,leaf
M80.001,M,Diseases of the musculoskeletal system and connective tissue,M80,Osteoarthritis - variant 001,Osteoarthritis - variant 001 specific presentation or complication.,osteoarthritis - variant 001|osteoarthritis|unspecified,leaf
M74.001,M,Diseases of the musculoskeletal system and connective tissue,M74,Rheumatoid arthritis - variant 001,Rheumatoid arthritis - variant 001 specific presentation or complication.,rheumatoid arthritis - variant 001|rheumatoid|unspecified,leaf
M69.001,M,Diseases of the musculoskeletal system and connective tissue,M69,Low back pain - variant 001,Low back pain - variant 001 specific presentation or complication.,low back pain - variant 001|low|unspecified,leaf
M54.001,M,Diseases of the musculoskeletal system and connective tissue,M54,Osteoporosis - variant 001,Osteoporosis - variant 001 specific presentation or complication.,osteoporosis - variant 001|osteoporosis|unspecified,leaf
N32.001,N,Diseases of the genitourinary system,N32,CKD - variant 001,CKD - variant 001 specific presentation or complication.,ckd - variant 001|ckd|unspecified,leaf
N24.001,N,Diseases of the genitourinary system,N24,UTI - variant 001,UTI - variant 001 specific presentation or complication.,uti - variant 001|uti|unspecified,leaf
N38.001,N,Diseases of the genitourinary system,N38,Nephrolithiasis - variant 001,Nephrolithiasis - variant 001 specific presentation or complication.,nephrolithiasis - variant 001|nephrolithiasis|unspecified,leaf
N48.001,N,Diseases of the genitourinary system,N48,Prostate disorder - variant 001,Prostate disorder - variant 001 specific presentation or complication.,prostate disorder - variant 001|prostate|unspecified,leaf
N77.001,N,Diseases of the genitourinary system,N77,Gynecologic disorder - variant 001,Gynecologic disorder - variant 001 specific presentation or complication.,gynecologic disorder - variant 001|gynecologic|unspecified,leaf
A82.002,A,Certain infectious and parasitic diseases,A82,Sepsis - variant 002,Sepsis - variant 002 specific presentation or complication.,sepsis - variant 002|sepsis|unspecified,leaf
A79.002,A,Certain infectious and parasitic diseases,A79,Viral infection - variant 002,Viral infection - variant 002 specific presentation or complication.,viral infection - variant 002|viral|unspecified,leaf
A25.002,A,Certain infectious and parasitic diseases,A25,Bacterial infection - variant 002,Bacterial infection - variant 002 specific presentation or complication.,bacterial infection - variant 002|bacterial|unspecified,leaf
A26.002,A,Certain infectious and parasitic diseases,A26,Mycosis - variant 002,Mycosis - variant 002 specific presentation or complication.,mycosis - variant 002|mycosis|unspecified,leaf
A73.002,A,Certain infectious and parasitic diseases,A73,Parasitic disease - variant 002,Parasitic disease - variant 002 specific presentation or complication.,parasitic disease - variant 002|parasitic|unspecified,leaf
C19.002,C,Neoplasms,C19,Malignant neoplasm of organ - variant 002,Malignant neoplasm of organ - variant 002 specific presentation or complication.,malignant neoplasm of organ - variant 002|malignant|unspecified,leaf
C76.002,C,Neoplasms,C76,Benign neoplasm - variant 002,Benign neoplasm - variant 002 specific presentation or complication.,benign neoplasm - variant 002|benign|unspecified,leaf
C23.002,C,Neoplasms,C23,In situ neoplasm - variant 002,In situ neoplasm - variant 002 specific presentation or complication.,in situ neoplasm - variant 002|in|unspecified,leaf
C25.002,C,Neoplasms,C25,Neoplasm of uncertain behavior - variant 002,Neoplasm of uncertain behavior - variant 002 specific presentation or complication.,neoplasm of uncertain behavior - variant 002|neoplasm|unspecified,leaf
E25.002,E,"Endocrine, nutritional and metabolic diseases",E25,Type 2 diabetes - variant 002,Type 2 diabetes - variant 002 specific presentation or complication.,type 2 diabetes - variant 002|type|unspecified,leaf
E90.002,E,"Endocrine, nutritional and metabolic diseases",E90,Thyroid disorder - variant 002,Thyroid disorder - variant 002 specific presentation or complication.,thyroid disorder - variant 002|thyroid|unspecified,leaf
E19.002,E,"Endocrine, nutritional and metabolic diseases",E19,Lipid disorder - variant 002,Lipid disorder - variant 002 specific presentation or complication.,lipid disorder - variant 002|lipid|unspecified,leaf
E22.002,E,"Endocrine, nutritional and metabolic diseases",E22,Obesity - variant 002,Obesity - variant 002 specific presentation or complication.,obesity - variant 002|obesity|unspecified,leaf
E89.002,E,"Endocrine, nutritional and metabolic diseases",E89,Electrolyte imbalance - variant 002,Electrolyte imbalance - variant 002 specific presentation or complication.,electrolyte imbalance - variant 002|electrolyte|unspecified,leaf
F64.002,F,Mental and behavioural disorders,F64,Major depressive disorder - variant 002,Major depressive disorder - variant 002 specific presentation or complication.,major depressive disorder - variant 002|major|unspecified,leaf
F62.002,F,Mental and behavioural disorders,F62,Anxiety disorder - variant 002,Anxiety disorder - variant 002 specific presentation or complication.,anxiety disorder - variant 002|anxiety|unspecified,leaf
F91.002,F,Mental and behavioural disorders,F91,Substance use disorder - variant 002,Substance use disorder - variant 002 specific presentation or complication.,substance use disorder - variant 002|substance|unspecified,leaf
F26.002,F,Mental and behavioural disorders,F26,Schizophrenia spectrum - variant 002,Schizophrenia spectrum - variant 002 specific presentation or complication.,schizophrenia spectrum - variant 002|schizophrenia|unspecified,leaf
G13.002,G,Diseases of the nervous system,G13,Epilepsy - variant 002,Epilepsy - variant 002 specific presentation or complication.,epilepsy - variant 002|epilepsy|unspecified,leaf
G59.002,G,Diseases of the nervous system,G59,Parkinsonism - variant 002,Parkinsonism - variant 002 specific presentation or complication.,parkinsonism - variant 002|parkinsonism|unspecified,leaf
G97.002,G,Diseases of the nervous system,G97,Migraine - variant 002,Migraine - variant 002 specific presentation or complication.,migraine - variant 002|migraine|unspecified,leaf
G64.002,G,Diseases of the nervous system,G64,Neuropathy - variant 002,Neuropathy - variant 002 specific presentation or complication.,neuropathy - variant 002|neuropathy|unspecified,leaf
I37.002,I,Diseases of the circulatory system,I37,Hypertensive disease - variant 002,Hypertensive disease - variant 002 specific presentation or complication.,hypertensive disease - variant 002|hypertensive|unspecified,leaf
I55.002,I,Diseases of the circulatory system,I55,Ischemic heart disease - variant 002,Ischemic heart disease - variant 002 specific presentation or complication.,ischemic heart disease - variant 002|ischemic|unspecified,leaf
I38.002,I,Diseases of the circulatory system,I38,Heart failure - variant 002,Heart failure - variant 002 specific presentation or complication.,heart failure - variant 002|heart|unspecified,leaf
I66.002,I,Diseases of the circulatory system,I66,Cerebrovascular disease - variant 002,Cerebrovascular disease - variant 002 specific presentation or complication.,cerebrovascular disease - variant 002|cerebrovascular|unspecified,leaf
I22.002,I,Diseases of the circulatory system,I22,Arrhythmia - variant 002,Arrhythmia - variant 002 specific presentation or complication.,arrhythmia - variant 002|arrhythmia|unspecified,leaf
J52.002,J,Diseases of the respiratory system,J52,Pneumonia - variant 002,Pneumonia - variant 002 specific presentation or complication.,pneumonia - variant 002|pneumonia|unspecified,leaf
J60.002,J,Diseases of the respiratory system,J60,Asthma - variant 002,Asthma - variant 002 specific presentation or complication.,asthma - variant 002|asthma|unspecified,leaf
J35.002,J,Diseases of the respiratory system,J35,COPD - variant 002,COPD - variant 002 specific presentation or complication.,copd - variant 002|copd|unspecified,leaf
J18.002,J,Diseases of the respiratory system,J18,Respiratory failure - variant 002,Respiratory failure - variant 002 specific presentation or complication.,respiratory failure - variant 002|respiratory|unspecified,leaf
K13.002,K,Diseases of the digestive system,K13,Gastritis - variant 002,Gastritis - variant 002 specific presentation or complication.,gastritis - variant 002|gastritis|unspecified,leaf
K19.002,K,Diseases of the digestive system,K19,Peptic ulcer - variant 002,Peptic ulcer - variant 002 specific presentation or complication.,peptic ulcer - variant 002|peptic|unspecified,leaf
K26.002,K,Diseases of the digestive system,K26,Liver disease - variant 002,Liver disease - variant 002 specific presentation or complication.,liver disease - variant 002|liver|unspecified,leaf
K20.002,K,Diseases of the digestive system,K20,Pancreatic disorder - variant 002,Pancreatic disorder - variant 002 specific presentation or complication.,pancreatic disorder - variant 002|pancreatic|unspecified,leaf
K36.002,K,Diseases of the digestive system,K36,IBD - variant 002,IBD - variant 002 specific presentation or complication.,ibd - variant 002|ibd|unspecified,leaf
M80.002,M,Diseases of the musculoskeletal system and connective tissue,M80,Osteoarthritis - variant 002,Osteoarthritis - variant 002 specific presentation or complication.,osteoarthritis - variant 002|osteoarthritis|unspecified,leaf
M74.002,M,Diseases of the musculoskeletal system and connective tissue,M74,Rheumatoid arthritis - variant 002,Rheumatoid arthritis - variant 002 specific presentation or complication.,rheumatoid arthritis - variant 002|rheumatoid|unspecified,leaf
M69.002,M,Diseases of the musculoskeletal system and connective tissue,M69,Low back pain - variant 002,Low back pain - variant 002 specific presentation or complication.,low back pain - variant 002|low|unspecified,leaf
M54.002,M,Diseases of the musculoskeletal system and connective tissue,M54,Osteoporosis - variant 002,Osteoporosis - variant 002 specific presentation or complication.,osteoporosis - variant 002|osteoporosis|unspecified,leaf
N32.002,N,Diseases of the genitourinary system,N32,CKD - variant 002,CKD - variant 002 specific presentation or complication.,ckd - variant 002|ckd|unspecified,leaf
N24.002,N,Diseases of the genitourinary system,N24,UTI - variant 002,UTI - variant 002 specific presentation or complication.,uti - variant 002|uti|unspecified,leaf
N38.002,N,Diseases of the genitourinary system,N38,Nephrolithiasis - variant 002,Nephrolithiasis - variant 002 specific presentation or complication.,nephrolithiasis - variant 002|nephrolithiasis|unspecified,leaf
N48.002,N,Diseases of the genitourinary system,N48,Prostate disorder - variant 002,Prostate disorder - variant 002 specific presentation or complication.,prostate disorder - variant 002|prostate|unspecified,leaf
N77.002,N,Diseases of the genitourinary system,N77,Gynecologic disorder - variant 002,Gynecologic disorder - variant 002 specific presentation or complication.,gynecologic disorder - variant 002|gynecologic|unspecified,leaf
A82.003,A,Certain infectious and parasitic diseases,A82,Sepsis - variant 003,Sepsis - variant 003 specific presentation or complication.,sepsis - variant 003|sepsis|unspecified,leaf
A79.003,A,Certain infectious and parasitic diseases,A79,Viral infection - variant 003,Viral infection - variant 003 specific presentation or complication.,viral infection - variant 003|viral|unspecified,leaf
A25.003,A,Certain infectious and parasitic diseases,A25,Bacterial infection - variant 003,Bacterial infection - variant 003 specific presentation or complication.,bacterial infection - variant 003|bacterial|unspecified,leaf
A26.003,A,Certain infectious and parasitic diseases,A26,Mycosis - variant 003,Mycosis - variant 003 specific presentation or complication.,mycosis - variant 003|mycosis|unspecified,leaf
A73.003,A,Certain infectious and parasitic diseases,A73,Parasitic disease - variant 003,Parasitic disease - variant 003 specific presentation or complication.,parasitic disease - variant 003|parasitic|unspecified,leaf
C19.003,C,Neoplasms,C19,Malignant neoplasm of organ - variant 003,Malignant neoplasm of organ - variant 003 specific presentation or complication.,malignant neoplasm of organ - variant 003|malignant|unspecified,leaf
C76.003,C,Neoplasms,C76,Benign neoplasm - variant 003,Benign neoplasm - variant 003 specific presentation or complication.,benign neoplasm - variant 003|benign|unspecified,leaf
C23.003,C,Neoplasms,C23,In situ neoplasm - variant 003,In situ neoplasm - variant 003 specific presentation or complication.,in situ neoplasm - variant 003|in|unspecified,leaf
C25.003,C,Neoplasms,C25,Neoplasm of uncertain behavior - variant 003,Neoplasm of uncertain behavior - variant 003 specific presentation or complication.,neoplasm of uncertain behavior - variant 003|neoplasm|unspecified,leaf
E25.003,E,"Endocrine, nutritional and metabolic diseases",E25,Type 2 diabetes - variant 003,Type 2 diabetes - variant 003 specific presentation or complication.,type 2 diabetes - variant 003|type|unspecified,leaf
E90.003,E,"Endocrine, nutritional and metabolic diseases",E90,Thyroid disorder - variant 003,Thyroid disorder - variant 003 specific presentation or complication.,thyroid disorder - variant 003|thyroid|unspecified,leaf
E19.003,E,"Endocrine, nutritional and metabolic diseases",E19,Lipid disorder - variant 003,Lipid disorder - variant 003 specific presentation or complication.,lipid disorder - variant 003|lipid|unspecified,leaf
E22.003,E,"Endocrine, nutritional and metabolic diseases",E22,Obesity - variant 003,Obesity - variant 003 specific presentation or complication.,obesity - variant 003|obesity|unspecified,leaf
E89.003,E,"Endocrine, nutritional and metabolic diseases",E89,Electrolyte imbalance - variant 003,Electrolyte imbalance - variant 003 specific presentation or complication.,electrolyte imbalance - variant 003|electrolyte|unspecified,leaf
F64.003,F,Mental and behavioural disorders,F64,Major depressive disorder - variant 003,Major depressive disorder - variant 003 specific presentation or complication.,major depressive disorder - variant 003|major|unspecified,leaf
F62.003,F,Mental and behavioural disorders,F62,Anxiety disorder - variant 003,Anxiety disorder - variant 003 specific presentation or complication.,anxiety disorder - variant 003|anxiety|unspecified,leaf
F91.003,F,Mental and behavioural disorders,F91,Substance use disorder - variant 003,Substance use disorder - variant 003 specific presentation or complication.,substance use disorder - variant 003|substance|unspecified,leaf
F26.003,F,Mental and behavioural disorders,F26,Schizophrenia spectrum - variant 003,Schizophrenia spectrum - variant 003 specific presentation or complication.,schizophrenia spectrum - variant 003|schizophrenia|unspecified,leaf
G13.003,G,Diseases of the nervous system,G13,Epilepsy - variant 003,Epilepsy - variant 003 specific presentation or complication.,epilepsy - variant 003|epilepsy|unspecified,leaf
G59.003,G,Diseases of the nervous system,G59,Parkinsonism - variant 003,Parkinsonism - variant 003 specific presentation or complication.,parkinsonism - variant 003|parkinsonism|unspecified,leaf
G97.003,G,Diseases of the nervous system,G97,Migraine - variant 003,Migraine - variant 003 specific presentation or complication.,migraine - variant 003|migraine|unspecified,leaf
G64.003,G,Diseases of the nervous system,G64,Neuropathy - variant 003,Neuropathy - variant 003 specific presentation or complication.,neuropathy - variant 003|neuropathy|unspecified,leaf
I37.003,I,Diseases of the circulatory system,I37,Hypertensive disease - variant 003,Hypertensive disease - variant 003 specific presentation or complication.,hypertensive disease - variant 003|hypertensive|unspecified,leaf
I55.003,I,Diseases of the circulatory system,I55,Ischemic heart disease - variant 003,Ischemic heart disease - variant 003 specific presentation or complication.,ischemic heart disease - variant 003|ischemic|unspecified,leaf
